resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,Material,Chemicals,m3,2.53,2.53,2.53,2.53,1,GBP,66.65,26.3442,6539,6539,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",WATER DRAINAGE
KAME-LI-MEME-KALI_KARIRILI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 4-5 mm",Material,Steel & Metal,kg,2.34,2.34,2.34,2.34,1,GBP,154.82,66.1641,5578,5578,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-TO-KARI-KADX_KAKARIRI,Propane-butane technical mixture,Material,Chemicals,kg,1.11,1.11,1.11,1.11,1,GBP,11.06,9.9601,4774,4774,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",REINFORCEMENT OF EARTHEN STRUCTURE SLOPES
PU_MEKAKA_KALIKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,8.77,8.16,48.96,8.16,5,GBP,324.84,39.065,4659,4214,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KATOKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,5.12,5.06,10.11,5.06,2,GBP,73.25,14.3887,4041,3793,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",MANUAL SOIL EXCAVATION
DXME-MELI-KAPU_KAPURI,Gas welding and cutting equipment,Equipment,Welding Equip.,Machine hours,0.09,0.09,0.09,0.09,1,GBP,1.72,18.4995,3819,3819,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",WATER DRAINAGE
KAME-LI-MESA-KATO_KAKAPURI,Bolts with nuts and washers for construction,Material,Fasteners,kg,3.28,3.28,3.28,3.28,1,GBP,108.35,33.0324,3400,3400,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
KAME-LI-KATO-KAME_KAKAKARI,Tap water,Material,Water,m3,0.71,0.71,0.71,0.71,1,GBP,1543.09,2173.361,3328,3328,CONSTRUCTION WORK,Monolithic concrete and reinforced concrete structures,STRUCTURES OF NUCLEAR POWER PLANT BUILDINGS,Injection of channel formers for the reactor building protective shell prestress
KAME-LI-MESA-KANE_KAMEMEME,Construction nails,Material,Fasteners,t,1408.58,1408.58,1408.58,1408.58,1,GBP,43.97,0.0312,3190,3190,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
DXME-KANE-KASA_KAMEME,"Universal front-end pneumatic wheeled single-bucket loaders, nominal capacity of main bucket 2.6 m3, load capacity 5 t",Equipment,General,Machine hours,27.42,27.42,27.42,27.42,1,GBP,54.2,1.9765,2921,2921,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION
RI_MEKAKA_KAPU,Grade 4 worker,Labor,Labor,hrs,13.17,13.17,13.17,13.17,1,GBP,944.3,71.7006,2918,2918,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION
DXME-KADX-KARI_KAKAVO,"Non-tipping mine cars, capacity 2.5 m3",Equipment,General,Machine hours,0.19,0.19,0.19,0.19,1,GBP,16.06,84.2565,2892,2892,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS,"PASSAGE OF VERTICAL SHAFTS CONNECTED TO SURROUNDING COURTYARDS, LOADING DEVICE C"
KAME-LI-MEME-KALI_KARITOKA,"Welding electrodes for welding low-alloy and carbon steels UONI 13/55, E50A, diameter 4-5 mm",Material,Steel & Metal,kg,2.24,2.24,2.24,2.24,1,GBP,133.35,59.5305,2861,2861,CONSTRUCTION WORK,Wells,WELL DRILLING,OTHER TYPES OF DRILLING
ME_MEKAKA_TOKA,Average workload 3.0,Labor,Labor,hrs,11.7,11.7,11.7,11.7,1,GBP,1228.98,105.0412,2694,2694,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
PU_MEKAKA_KASASA,Personnel: 2 person-hours/machine-hour,Equipment,General,Machine hours,15.07,14.2,28.39,14.2,2,GBP,128.89,8.9018,2611,2509,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS
DXME-KADX-KATO_KATOSA,"Wide gauge platforms, load capacity 73 t",Equipment,General,Machine hours,3.59,3.59,3.59,3.59,1,GBP,58.5,16.2964,2608,2608,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS
ME_MEKAKA_TOVO,Worker Category 1,Labor,Labor,hrs,12.87,12.87,12.87,12.87,1,GBP,3641.16,282.9182,2594,2594,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
RI_MEKAKA_KASA,Grade 5 worker,Labor,Labor,hrs,15.14,15.14,15.14,15.14,1,GBP,2233.89,147.549,2550,2550,CONSTRUCTION WORK,Wells,WELL DRILLING,OTHER TYPES OF DRILLING
KAVO-ME-KARI-MEME_KAKAKAME,"Forgings from square billets, weight 1.5-4.5 kg",Material,Steel & Metal,t,1282.67,1282.67,1282.67,1282.67,1,GBP,483.7,0.3771,2506,2506,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF TRENCHES FOR MAIN AND INDUSTRIAL PIPELINES FOR GAS AND
DXME-KASA-KANE_KAKALI,"Crawler cranes, lifting capacity 25 t",Equipment,Cranes,Machine hours,38.64,38.64,38.64,38.64,1,GBP,999.02,25.8546,2365,2365,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF TRENCHES FOR MAIN AND INDUSTRIAL PIPELINES FOR GAS AND
KAME-TO-KARI-KATO_KAKAKAME,"Acetylene gas, technical grade",Material,Chemicals,m3,9.46,9.46,9.46,9.46,1,GBP,176.19,18.6248,2331,2331,CONSTRUCTION WORK,Drilling and blasting,COVERING OF EXPLOSION AREAS AND DRILLING AND BLASTING WORKS ON ACTIVE RAILWAY TR,COVERING THE EXPLOSION AREA TO PROTECT STRUCTURES
RI_MEKAKA_KARI,2nd grade worker,Labor,Labor,hrs,10.71,10.71,10.71,10.71,1,GBP,417.73,39.0037,2220,2220,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION
ME_MEKAKA_TOSA,Worker Category 1,Labor,Labor,hrs,12.44,12.44,12.44,12.44,1,GBP,1921.49,154.4608,2210,2210,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP
DXME-MEVO-KAME_KAKALI,"Mobile screw compressors with internal combustion engines, pressure up to 0.7 MPa (7 atm), capacity up to 5.4 m3/min",Equipment,Compressors,Machine hours,6.62,6.62,6.62,6.62,1,GBP,201.14,30.3838,2133,2133,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",SOIL COMPACTION
RI_MEKAKA_KATO,Grade 3 worker,Labor,Labor,hrs,11.7,11.7,11.7,11.7,1,GBP,983.75,84.0812,2130,2130,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION
MEPU-PU-KARI-KAPU_KAMEPURI,"MA-0115 oil paint, mummy, iron minium",Material,Steel & Metal,kg,1.96,1.96,1.96,1.96,1,GBP,4.68,2.3889,2013,2013,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",WATER DRAINAGE
ME_MEKAKA_TODX,Worker Category 1,Labor,Labor,hrs,13.03,13.03,13.03,13.03,1,GBP,6059.69,465.0566,1933,1933,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-LI-RIKA-KAVO_KAKASAME,Colored cotton rags,Material,General,kg,1.43,1.43,1.43,1.43,1,GBP,2.1,1.468,1881,1881,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",REINFORCEMENT OF EARTHEN STRUCTURE SLOPES
ME_MEKAKA_SAKA,Worker Category 1,Labor,Labor,hrs,15.14,15.14,15.14,15.14,1,GBP,3762.93,248.542,1829,1829,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",EXCAVATION OF PERMANENTLY FROZEN AND ROCKY SOILS
ME_MEKAKA_PURI,Worker Category 1,Labor,Labor,hrs,13.57,13.57,13.57,13.57,1,GBP,7127.1,525.2102,1798,1798,CONSTRUCTION WORK,Overhead work,SOIL DEVELOPMENT WITH SINGLE-BUCKET EXCAVATORS,BULLDOZER SLOPE FORMATION
DXME-KANE-KANE_KAPUVO,"Single-mast hoists, load capacity up to 500 kg, lifting height 45 m",Equipment,Cranes,Machine hours,0.95,0.95,0.95,0.95,1,GBP,0.82,0.8595,1750,1750,CONSTRUCTION WORK,Monolithic concrete and reinforced concrete structures,OTHER WORKS,Shotcrete application on concrete surfaces
ME_MEKAKA_TONE,Worker Category 1,Labor,Labor,hrs,12.58,12.58,12.58,12.58,1,GBP,3832.12,304.62,1726,1726,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",EXCAVATION OF PERMANENTLY FROZEN AND ROCKY SOILS
RISA-ME-KAME-KAPU_KAKATOME,"Coniferous wood sleeper, untreated, for broad gauge railways, type I",Material,Wood & Timber,Nr,37.02,37.02,37.02,37.02,1,GBP,321.63,8.688,1707,1707,CONSTRUCTION WORK,Bridges and Pipes,MISCELLANEOUS WORKS,CONSTRUCTION OF GABION STRUCTURES
DXME-KANE-KATO_KANERI,Electric winches with pulling force up to 31.39 kN (3.2 t),Equipment,Hoists,Machine hours,0.33,0.33,0.33,0.33,1,GBP,8.93,26.803,1694,1694,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",SOIL STABILIZATION,Soil cementation
DXME-KANE-KATO_KANERI,Electricity: consumption 0.39 kW·h/machine-hour,Electricity,Electricity,Machine hours,0.1,0.1,0.1,0.1,1,GBP,2.79,26.803,1694,1694,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",SOIL STABILIZATION,Soil cementation
PU_MEKAKA_KADXKA,Personnel: 1 person-hour/machine-hour,Equipment,General,Machine hours,9.39,9.31,18.62,9.31,2,GBP,399.11,42.8438,1652,1568,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION WITH SCRAPERS
KAME-LI-KADX-KARI_KAKATOME,ED-KZ waterproof short-delay electric detonators,Material,Waterproofing,1000 Nr,2988.93,2988.93,2988.93,2988.93,1,GBP,517.47,0.1731,1647,1647,CONSTRUCTION WORK,Drilling and blasting,LOOSENING ROCK SOIL WITH BLASTING CHARGES,Loosening of rocky soils with borehole charges at a bench height of up to 0.5 m 
KAME-LI-MEME-KAPU_KAKASARI,"Uncoated welding wire SV-08G2S, diameter 2 mm",Material,Welding Consumables,kg,1.74,1.74,1.74,1.74,1,GBP,23.59,13.5551,1616,1616,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",SOIL STABILIZATION,Construction of trenches under clay mortar
ME_MEKAKA_TOLI,Worker Category 1,Labor,Labor,hrs,12.73,12.73,12.73,12.73,1,GBP,2977.17,233.8704,1611,1611,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
DXME-KANE-KATO_KANEKA,Electric winches with a pulling force of up to 5.79 kN (0.59 t),Equipment,Hoists,Machine hours,0.16,0.16,0.16,0.16,1,GBP,0.41,2.1957,1598,1598,CONSTRUCTION WORK,Metal building structures,STRUCTURES,"BUNKERS, SILOS, DECOMPOSERS, THICKENERS"
KAPU-ME-KARI-KASA,Heavy concrete mixes,Abstract Material,Concrete & Cement,m3,83.86,83.86,83.86,83.86,1,GBP,4268.39,50.899,1589,1589,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",SOIL COMPACTION
TO_RIKAKA_KAME,Category I engineer,Labor,Labor,person-hour,21.13,21.13,21.13,21.13,1,GBP,2860.63,135.3824,1536,1536,COMMISSIONING,Electrical equipment,SYNCHRONOUS GENERATORS AND EXCITERS,GENERATORS
PU_MEKAKA_KAVOKA,Personnel: 2 person-hours/machine-hour,Equipment,General,Machine hours,10.9,8.72,52.28,8.72,4,GBP,383.5,29.544,1525,1405,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS
ME_MEKAKA_TOME,Worker Category 1,Labor,Labor,hrs,11.84,11.84,11.84,11.84,1,GBP,2286.49,193.1154,1517,1517,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION
DXME-MEPU-KASA_KAMERI,"General purpose semi-trailers, load capacity up to 15 t",Equipment,General,Machine hours,2.76,2.76,2.76,2.76,1,GBP,5.84,2.1166,1515,1515,CONSTRUCTION WORK,Wells,WELL DRILLING,OTHER TYPES OF DRILLING
TO_RIKAKA_KARI,Category II Engineer,Labor,Labor,person-hour,19.27,19.27,19.27,19.27,1,GBP,2031.41,105.4181,1512,1512,COMMISSIONING,Electrical equipment,SYNCHRONOUS GENERATORS AND EXCITERS,EXCITATION SYSTEMS
ME_MEKAKA_PUME,Worker Category 1,Labor,Labor,hrs,13.37,13.37,13.37,13.37,1,GBP,7964.09,595.6684,1507,1507,CONSTRUCTION WORK,Drilling and blasting,"LOOSENING OF ROCK SOILS WITH CHAMBER CHARGES, MASSIVE BLASTING OF SOILS FOR EJEC",MASS BLASTING OF SOILS WITH CHAMBER CHARGES FOR EJECTING AND DISPOSING OF UP TO 
KALI-RI-KALI-MERI_KAKAKAME,"Auxiliary metal structures predominantly made of thick-gauge steel or rolled sections, with or without holes",Material,Steel & Metal,t,2415.78,2415.78,2415.78,2415.78,1,GBP,1025.51,0.4245,1498,1498,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
DXME-MEKA-KAME_KAKARI,"Filling and pressure testing units, flow rate up to 300 m3/h",Equipment,General,Machine hours,54.76,54.76,54.76,54.76,1,GBP,668.75,12.2124,1439,1439,CONSTRUCTION WORK,Metal building structures,STRUCTURES,"TANKS, GAS TANKS"
DXME-KANE-KATO_KASASA,Electric winches with a pulling force of 19.62 kN (2 t),Equipment,Hoists,Machine hours,0.28,0.28,0.28,0.28,1,GBP,11.15,39.7806,1428,1428,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",EXCAVATION OF PERMANENTLY FROZEN AND ROCKY SOILS
DXME-KANE-KATO_KASASA,Electricity: consumption 0.39 kW·h/machine-hour,Electricity,Electricity,Machine hours,0.1,0.1,0.1,0.1,1,GBP,4.0,39.7806,1428,1428,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",EXCAVATION OF PERMANENTLY FROZEN AND ROCKY SOILS
ME_MEKAKA_TORI,Worker Category 1,Labor,Labor,hrs,11.99,11.99,11.99,11.99,1,GBP,1929.54,160.9293,1420,1420,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
RI_MEKAKA_KANE,Grade 6 worker,Labor,Labor,hrs,17.69,17.69,17.69,17.69,1,GBP,1491.32,84.3031,1405,1405,CONSTRUCTION WORK,Earthworks,"OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS",PREPARATORY WORK RELATED TO LOGGING AND CLEARING OF AREAS AND ROUTES
MEME-ME-KARI-KAPU_KAKATOME,"Round coniferous timber, unpeeled, length 3-6.5 m, diameter 14-24 cm, grade II-III",Material,Wood & Timber,m3,113.47,113.47,113.47,113.47,1,GBP,558.85,4.9251,1405,1405,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",EXCAVATION AND FILLING OF TRENCHES FOR MAIN AND INDUSTRIAL PIPELINES FOR GAS AND
KAVO-ME-KARI-MEME_KAKARITO,"Simple construction forgings (staples, fasteners, clamps), weight up to 1.6 kg",Material,Steel & Metal,kg,2.81,2.81,2.81,2.81,1,GBP,121.69,43.3063,1384,1384,CONSTRUCTION WORK,Monolithic concrete and reinforced concrete structures,OTHER WORKS,Shotcrete application on concrete surfaces
DXME-KANE-KATO_KASAPU,Electricity: consumption 0.39 kW·h/machine-hour,Electricity,Electricity,Machine hours,0.1,0.1,0.1,0.1,1,GBP,8.47,84.7095,1381,1381,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS,"PASSAGE OF VERTICAL SHAFTS CONNECTED TO SURROUNDING COURTYARDS, LOADING DEVICE C"
DXME-KANE-KATO_KASAPU,Mine maneuvering winches for pulling mine cars to the first break,Equipment,Hoists,Machine hours,0.85,0.85,0.85,0.85,1,GBP,72.0,84.7095,1381,1381,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS,"PASSAGE OF VERTICAL SHAFTS CONNECTED TO SURROUNDING COURTYARDS, LOADING DEVICE C"
DXME-KALI-KAPU_KAKAME,Deep vibrators,Equipment,General,Machine hours,0.22,0.22,0.22,0.22,1,GBP,13.01,58.6705,1380,1380,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
KAME-PU-KATO-KAPU_KAKAMEME,"Hexagonal hollow drill steel 55S2, outer size 22 mm, inner diameter 6.5 mm",Material,Steel & Metal,t,3567.77,3567.77,3567.77,3567.77,1,GBP,137.85,0.0386,1369,1369,CONSTRUCTION WORK,Tunnels and subways,CLOSED METHOD OF OPERATION,DRIVING INCLINED AND VERTICAL WORKINGS
DXME-RIME-MEKA_KAKAME,Pneumatic jackhammers for use with stationary compressor stations,Equipment,Compressors,Machine hours,1.08,1.08,1.08,1.08,1,GBP,116.0,107.4084,1367,1367,CONSTRUCTION WORK,Heat supply and gas pipelines - outdoor networks,GAS PIPELINES IN CITIES AND SETTLEMENTS,ELECTROCHEMICAL PROTECTION OF GAS PIPELINES IN CITIES AND SETTLEMENTS
MEME-ME-KATO-KAME_KAKANELI,"Edged softwood timber (spruce, pine), natural moisture content, length 2-6.5 m, width 100 mm and above, thickness 100 mm and above, grade III",Material,Wood & Timber,m3,271.83,271.83,271.83,271.83,1,GBP,321.91,1.1842,1364,1364,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization",PILE DRIVING,PILE DRIVING WORK PERFORMED FROM THE GROUND
KAME-LI-RIKA-KAVO_KAMERIRI,"Cotton wipes, dimensions 400x400 mm, surface density from 105 to 130 g/m2",Material,General,m2,0.4,0.4,0.4,0.4,1,GBP,2.91,7.2439,1359,1359,CONSTRUCTION WORK,Metal building structures,NUCLEAR POWER PLANT CONSTRUCTIONS,INSTALLATION OF METAL STRUCTURES FOR NUCLEAR POWER PLANTS
DXME-RIME-RIRI_TOKAME,Supports for portable pneumatic perforators,Equipment,General,Machine hours,0.08,0.08,0.08,0.08,1,GBP,14.76,184.4683,1339,1339,CONSTRUCTION WORK,Tunnels and subways,CLOSED METHOD OF OPERATION,SHAFT PASSAGE
ME_MEKAKA_TOPU,Worker Category 1,Labor,Labor,hrs,12.29,12.29,12.29,12.29,1,GBP,1650.36,134.2847,1337,1337,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
KAME-LI-MEDX-KAPU_KAKATOME,Rubber gaskets (pressed technical plate),Material,Rubber,kg,3.64,3.64,3.64,3.64,1,GBP,40.75,11.1937,1331,1331,CONSTRUCTION WORK,Earthworks,"MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HY",SOIL DEVELOPMENT BY HYDRO-MECHANIZATION
