resource_code,resource_name,resource_type,common_name,unit,price_median,price_min,price_max,price_mean,variant_count,currency,usage_count,tech_group,variable_parts_sample
KAME-LI-MELI-KADX,Diamond drill bits,abstract_material,,pcs,138.65,1.51,3787.87,329.64,224,EUR,453,SATO-KARI-MEMENE,"Drill bit with carbide tip, SDS-max shank for hammer drilling holes in hard materials, total length 1320 mm, diameter 16 mm • Drill bit with carbide tip, SDS-max shank for hammer drilling in hard mate"
RISA-ME-KASA-KASA,"Broad gauge railway tracks, type P50",abstract_material,"Railway rails, type",m,237.62,231.75,254.31,241.0,7,EUR,447,SADX-KATO-KAKARI,"P50, category OT350 • P65, category DT350 • P65, category DT350NN • P65, category DT350SS • P65, category DT370IK • P65, category DT400IK • P65, category OT350"
KARI-RI-KASA-KAPU,Crushed stone,abstract_material,Crushed stone,m3,82.02,41.05,113.54,79.16,143,EUR,435,KARI-KAME-KAKAME,"(washed) from gravel for construction works M 1000, fraction 5(3)-20 mm • (washed) from gravel for construction works M 800, fraction 5(3)-20 mm • from gravel for road construction M 1200, fraction ME"
MEDX-ME-KAME-MEME,Plug covers for pitometer hatches,abstract_material,,pcs,7.79,1.95,23.85,8.81,19,EUR,428,TONE-KADX-KAVOPU,"Plug for pitometer hatch with a diameter of 10 mm • Quick-release clamp made of galvanized steel with microporous rubber, diameter 315 mm • Clamp for fastening air ducts, diameter 100 mm • Clamp for f"
KAME-PU-KARI-KAPU,Drill rods,abstract_material,Rod,pcs,493.78,107.98,30928.24,3809.32,9,EUR,383,SATO-KARI-TOKADX,"drill bit, type 2SBSh-200N, diameter 180 mm, wall thickness 16 mm, length VO.ME m • steel drill bit with threaded locks for drilling machines, diameter 73 mm, wall thickness 6 mm, length 1500 mm • hex"
KAME-RI-KATO-KATO,Mastic,abstract_material,Mastic,t,1019.09,646.16,11032.19,2281.67,11,EUR,382,RILI-KATO-KAPUKA,"bitumen roofing hot MBK-G-55, MBK-G-65, MBK-G-75, MBK-G-85, MBK-G-100 • bitumen anti-noise anti-corrosion • bitumen-butyl rubber waterproofing, roofing, consumption KA.DX kg/m2 with a layer thickness "
KARI-TO-KAME-KARI,Natural sand for construction work,abstract_material,Natural sand for,m3,28.09,22.74,30.27,27.28,18,EUR,378,KAME-KAME-KAKAPU,"road construction class I, coarse, square screens • road construction class I, fine, square screens • road construction class I, increased coarseness, square screens • road construction class I, mediu"
KAME-LI-MENE-KAPU,Formwork inventory (depreciation),abstract_material,Formwork shield,set,607.79,142.02,4432.35,1779.32,2,EUR,357,TOKA-KAME-KAKALI,"Metal structures for removable and repositionable formwork • Mobile block metal tunnel formwork, supported by the structure, for formwork of domes (vaults and tunnel walls) • Adjustable block metal tu"
KASA-ME-KAVO-MEPU,Precast reinforced concrete structures,abstract_material,,m3,1353.58,372.32,2588.39,1416.97,4,EUR,338,MEVO-KAME-MEKAPU,"Reinforced concrete half-rings, volume up to KA.SA m3, B15 concrete, reinforcement consumption from 100 to 150 kg/m3 • Reinforced concrete cups for fastening deflectors and umbrellas, volume up to KA."
RITO-VO-KATO-MEME,Steel flanges,abstract_material,Flange,pcs,59.45,2.71,5077.82,312.18,372,EUR,331,TOPU-MEME-MESAVO,"Butt welded, steel grade 20, nominal pressure ME.NE MPa, nominal diameter 100 mm • butt welded, steel grade 20, nominal pressure ME.NE MPa, nominal diameter 1000 mm • butt welded, steel grade 20, nomi"
KAME-PU-KAME-KATO,Three-cone drill bits,abstract_material,,pcs,1460.01,149.83,24134.84,2945.48,54,EUR,316,SATO-KARI-KAPUNE,"Two-bladed bit, diameter 105 mm • Two-bladed bit, diameter 115 mm • Two-bladed bit 2L-151 MS • Three-bladed bit, diameter 130 mm • Three-bladed bit, diameter 150 mm • Three-bladed bit, diameter 170 mm"
MERI-ME-KARI-MESA,Rolled waterproofing materials,abstract_material,,m2,10.69,4.54,81.02,17.84,9,EUR,308,RILI-KAME-KARIVO,"SBS-modified bitumen-polymer bandage tape on a non-woven base with fine-grained sprinkling and a weldable layer, width 200 mm • Rolled bitumen-polymer waterproofing material for waterproofing reinforc"
KAME-RI-KATO-KARI,Bitumen primer,abstract_material,Primer,t,3805.55,3805.21,3805.55,3805.43,3,EUR,308,RILI-KATO-KAMERI,"(primer) bitumen-polymer for application to the outer surface of underground steel pipelines, consumption KA.ME kg/m2 • bitumen-polymer anti-corrosion for protecting steel pipelines under insulating t"
KANE-ME-KAME-KASA,Ceramic brick,abstract_material,Ceramic brick,1000 pcs,641.67,359.92,1322.46,697.63,47,EUR,301,MEME-KARI-KAKASA,"Solid single front panel, dimensions 250x120x65 mm, grade M100 • Solid single front panel, dimensions 250x120x65 mm, grade M125 • Solid single front panel, dimensions 250x120x65 mm, grade M150 • front"
KAPU-TO-KARI-KAPU,Ready-to-use concrete mixes,abstract_material,Dry concrete mixes,m3,2.9,0.84,4.84,3.06,1,EUR,276,MELI-KAME-KARITO,"repair fillers, class B60 (M800), F300, W16, non-shrinking, fast-setting • repair fillers, class B60 (M800), F400, W16, non-shrinking, fast-setting • repair fillers, class B80 (M1000), W16, non-shrink"
MEVO-ME-KARI-KAME,Gate valves,abstract_material,Gate valve,pcs,1070.69,9.73,67252.03,3774.94,105,EUR,257,TOSA-KATO-MELISA,"double disc wedge gate valve with extendable spindle 31ch6br, nominal pressure ME.KA MPa, flanged connection to the pipeline, nominal diameter 100 mm • double disc wedge gate valve with extendable spi"
MEPU-PU-KARI-KAPU,Ready-to-use oil paints for interior use,abstract_material,Oil paint,t,2910.25,2283.0,3525.64,2910.95,14,EUR,257,RIVO-KAPU-KAMEVO,"MA-011-0, MA-011-1, MA-011-1N, MA-011-2, MA-011-2N • MA-025, colored • MA-15, zinc white • MA-15, mummy • MA-15, ochre • MA-15, iron red • MA-15, colored • MA-15N, zinc white • MA-22, zinc white • MA-"
RIRI-RI-KARI-RITO,Metal posters,abstract_material,,pcs,11.71,4.86,54.3,20.65,4,EUR,254,PUNE-KASA-KAKAME,"Galvanized steel power line support numbering sign, dimensions 120x260 mm, steel thickness KA.VO mm • Galvanized steel power line support numbering sign, dimensions 200x100 mm, steel thickness KA.VO m"
KASA-ME-KARI-KALI,Reinforced concrete column,abstract_material,,m3,1430.07,606.46,2609.4,1534.87,29,EUR,246,MEVO-KAME-RIKARI,"Vibrated reinforced concrete poles for outdoor switchgear • Conical reinforced concrete poles for railway contact network supports • Reinforced concrete poles SNCs, volume up to KA.TO m3, concrete B40"
RITO-TO-KATO-KARI,Pipes,abstract_material,"Seamless hot-rolled steel pipes with chamfered edges made of steel grades 10, 20, 35, outer diameter",m,59.72,4.83,395.26,83.7,226,EUR,245,TOTO-KAPU-TONESA,"102 mm wall thickness 4 mm • 102 mm, wall thickness TO.SA mm • 102 mm, wall thickness PU.SA mm • 102 mm, wall thickness 5 mm • 102 mm, wall thickness SA.SA mm • 102 mm, wall thickness 6 mm • 102 mm, w"
KASA-ME-KAME-METO,Flat reinforced concrete precast slabs,abstract_material,,m3,885.24,759.02,1011.46,885.24,2,EUR,232,MEVO-KAME-METONE,"Precast reinforced concrete loading and support slabs for overhead lines and switchgear • Reinforced concrete gratings for manure removal channels (slatted floor), B30 concrete, reinforcement consumpt"
RITO-SA-KARI-KARI,Steel pipes,abstract_material,"Steel pipes, electric welded, straight seam, made of steel",m,24.4,0.7,415.31,58.59,155,EUR,231,TOTO-KAPU-TONEDX,"Grade 20, outer diameter 102 mm, wall thickness 2 mm • Grade 20, outer diameter 102 mm, wall thickness 3 mm • Grade 20, outer diameter 102 mm, wall thickness 4 mm • Grade 20, outer diameter 102 mm, wa"
KALI-RI-KALI-MEME,Steel supports,abstract_material,Fixed steel pipe support made of hot-rolled profiles,t,4100.77,4100.77,4100.77,4100.77,1,EUR,223,TOTO-MERI-KAKARI,
RITO-SA-KAME-KAVO,Steel pipes,abstract_material,"Straight seam and spiral seam electric welded steel pipes, strength class K38, outer diameter",t,1165.68,91.75,3503.92,1792.73,1,EUR,222,MESA-MERI-MEMEME,"1020 mm, wall thickness 10 mm • 1020 mm, wall thickness 11 mm • 1020 mm, wall thickness 12 mm • 1020 mm, wall thickness 14 mm • 1020 mm, wall thickness 8 mm • 1020 mm, wall thickness 9 mm • 1120 mm, w"
KAME-LI-KADX-KAME,Ammonite No. 6 ZhV,abstract_material,Ammonite,t,6086.01,1246.33,7286.61,5226.46,5,EUR,207,TOME-KAME-KAKAME,"6ZhV in cartridge form, diameter 32 mm • 6ZhV in powder form • in PZhV-20 cartridges, diameter 36-37 mm • safety waterproof in AP-5 ZhV cartridges, diameter 36-37 mm • safety waterproof in T19 cartrid"
RIPU-TO-KATO-METO,Polyethylene pipes,abstract_material,Pressure pipes,m,59.71,0.6,2983.37,288.8,189,EUR,206,TOTO-KALI-MELIKA,"double-walled conductive polyethylene pipes, diameter 125/110 mm • polyethylene pipes, except for PE100 gas pipes, for water transportation, standard dimensional ratio SDR11, nominal outer diameter 10"
KAVO-PU-KARI-KATO,Reinforcing frames,abstract_material,Reinforcement cages for bored piles made of A500C steel with a diameter of,t,2046.7,1847.8,2245.59,2046.7,2,EUR,200,METO-KANE-KARIKA,"12 mm, diameter 400-1180 mm • 25 mm, diameter 400-1150 mm"
KAVO-ME-KARI-RISA,Fastening elements for attaching profiled flooring to load-bearing structures,abstract_material,Steel shot,t,2501.27,2308.97,2693.57,2501.27,2,EUR,194,PUNE-KAPU-KAKAME,"crushed improved, fraction KA.TO mm • cast improved, fraction KA.TO-TO.RI mm"
KAVO-ME-KARI-MELI,Reinforcing mesh,abstract_material,Mesh,t,7.2,1.29,92.24,39.19,1,EUR,193,METO-KANE-KATOTO,"double-twisted galvanized steel wire with hexagonal cells, wire diameter RI.LI mm, cell size 80x100 mm • galvanized double-twisted steel wire with hexagonal cells with inserts of flat twisted rods 6.0"
KAPU-ME-KARI-KARI,Heavy concrete mixes (BST) for hydraulic structures,abstract_material,"Heavy concrete mixes (BST) for hydraulic structures on gravel rubble, class",m3,164.02,140.47,190.63,163.05,49,EUR,191,MELI-KAME-KANEKA,"B15, F(1)100, W2 • B15, F(1)100, W4 • B15, F(1)50, W2 • B15, F(1)75, W2 • B15, F(1)75, W4 • B20, F(1)100, W2 • B20, F(1)100, W4 • B20, F(1)150, W4 • B20, F(1)150, W6 • B20, F(1)200, W4 • B20, F(1)200,"
KALI-RI-KALI-MERI,Steel structures made from a single profile,abstract_material,Metal structures,t,4993.34,3972.01,7286.79,5170.59,24,EUR,180,MESA-KAME-MELIRI,"auxiliary purpose with a predominance of thick-gauge steel or rolled steel, with or without holes • auxiliary purpose with a predominance of thick-gauge steel or rolled steel, with or without holes, C"
RITO-ME-KARI-KALI,Pipe fasteners,abstract_material,Steel bushing with internal anti-corrosion coating to protect the internal welded seam of the pipeli,kg,36.93,2.07,38.46,30.2,1,EUR,166,TOLI-KAME-KAMELI,"108 mm, thickness 4-12 mm • 114 mm, thickness 5-12 mm • 159 mm, thickness 5-12 mm • 168 mm, thickness 5-12 mm • 219 mm, thickness 6-12 mm • 273 mm, thickness 6-12 mm • 325 mm, thickness 6-10 mm • 426 "
KAME-LI-MEKA-KATO,Limestone blocks,abstract_material,,m3,2039.9,2039.9,2453.27,2177.69,3,EUR,166,MEME-KAME-KAMESA,"M-100 limestone wall blocks with groove (without groove) • M-75 limestone wall blocks with groove (without groove) • Limestone stones, Andreevskoye deposit, width 150, 250, 450 mm, thickness 30 mm"
KAME-LI-KALI-MESA,Dust suppressor,abstract_material,"Dust suppressant, brand",t,2492.15,1892.91,2666.92,2350.66,3,EUR,162,SARI-KANE-KAKAME,A • B • C
KAME-PU-KATO-KAME,Bentonite powders,abstract_material,Bentonite powder (clay powder),t,392.67,378.01,1231.84,558.73,5,EUR,161,TOME-KATO-KAMERI,"for preparing drilling fluids, fluid output MERI.KA-MESA.KA m3/t • for preparing drilling fluids, fluid output MENE.KA-MEDX.KA m3/t • for preparing drilling fluids, fluid output RIKA.KA-RITO.KA m3/t •"
KAME-LI-KALI-RIPU,"Radiographic film, sheet size 300x400 mm",abstract_material,"Radiographic film, sheet, pack of 100",m2,212.33,114.35,904.42,250.94,55,EUR,160,TOME-KARI-KAKAME,"sheets without separation, for use with a fluorescent intensifying screen, dimensions 300x400 mm • sheets without separation, sensitivity class C3, dimensions 240x300 mm • sheets without separation, s"
MEVO-ME-MEKA-KAME,Flange valves,abstract_material,,pcs,123.84,4.88,11182.37,591.59,164,EUR,158,TOSA-KAPU-KADXDX,"Carbon steel shut-off valve with graphite seal, flanged connection, nominal pressure PU.KA MPa, nominal diameter 40 mm • 15s54bk steel needle shut-off valve, with internal thread, nominal pressure ME."
RINE-ME-KAME-KARI,Bolt kit for tunnels,abstract_material,"Bolt set for tunnels, bolt",set,14.98,8.11,18.73,14.32,7,EUR,151,NETO-KAPU-KAKATO,"M27x120 with M27 nut, two spherical washers with a diameter of M27, thickness 4 mm • M30x120 with M30 nut, two spherical washers with a diameter of M30, thickness 4 mm • M36x120 with M36 nut, two sphe"
KAPU-TO-KAME-MERI,Cement-lime mortars,abstract_material,Masonry mortar,m3,135.47,127.28,155.44,138.06,7,EUR,150,MELI-KARI-KAKAPU,"cement-lime, M10 • cement-lime, M100 • cement-lime, M150 • cement-lime, M200 • cement-lime, M25 • cement-lime, M50 • cement-lime, M75"
RIPU-TO-KASA-KALI,Polyethylene couplings with embedded electric heaters,abstract_material,Coupling,pcs,11.53,0.15,15451.34,264.23,312,EUR,145,TOPU-KAPU-KANETO,"made of cross-linked polyethylene, transition piece, dimensions 20x16 mm • made of cross-linked polyethylene, transition piece, dimensions 25x16 mm • made of cross-linked polyethylene, transition piec"
KAME-LI-MERI-KASA,Nonwoven geotextile,abstract_material,,m2,2.17,0.51,25.68,3.36,49,EUR,140,SAPU-KANE-KAKAPU,"Needle-punched glass fiber thermal insulation geotextile • Nonwoven geotextile for road construction, needle-punched, surface density 160 g/m2 • Nonwoven geotextile for road construction, needle-punch"
MEME-ME-KATO-KAME,Edged bars,abstract_material,,m3,454.18,322.36,1070.72,511.68,19,EUR,139,MENE-KARI-KAKARI,"Edged softwood timber (spruce, pine), natural moisture content, length RI-NE.SA m, width 100 mm and above, thickness 100 mm and above, grade I • Edged softwood timber (spruce, pine), natural moisture "
KATO-RI-KAME-KAME,Portland cements without additives,abstract_material,Portland cement,t,223.24,216.47,285.42,232.22,6,EUR,137,MELI-KASA-KAMEPU,additive-free general construction CEM 0 32.5N • additive-free general construction CEM 0 42.5N • additive-free general construction CEM 0 52.5N • general construction CEM I 32.5B • general constructi
KAME-LI-MELI-METO,Steam needles,abstract_material,,pcs,1658.22,15.43,27249.33,4993.73,40,EUR,136,SATO-KARI-KANETO,"Cylindrical steel needle cutter, diameter 150 mm, thickness 20 mm • Piston inside the pipe made of steel body and 4 polyurethane cleaning discs for cleaning pipes with a nominal diameter of 1020 mm • "
RIME-RI-KAME-KARI,Uninsulated wires for overhead power lines,abstract_material,,t,9890.52,170.44,48599.93,14140.44,79,EUR,136,TODX-KATO-KAKAME,Uninsulated wire for overhead power lines A 100 • Uninsulated wire for overhead power lines A 120 • Uninsulated wire for overhead power lines A 125 • Uninsulated wire for overhead power lines A 150 • 
KAPU-TO-KARI-KADX,Cement-based mixtures,abstract_material,,t,2362.95,231.63,5670.74,2576.42,13,EUR,134,MELI-KATO-KAKALI,"Elastic grout for restoring and filling joints between tiles 4-16 mm wide, water-resistant • Dry concrete, sand, repair, non-shrink, fast-setting, polymer fiber-reinforced mixtures, class B80 (M1000),"
MEDX-TO-KAME-KAME,Throttle valves in the pipe,abstract_material,Throttle valve,pcs,35.43,6.8,482.3,105.45,32,EUR,133,TONE-KAVO-KATOTO,"in a shell with a control sector made of thin-gauge galvanized and high-grade steel, round, diameter 100 mm • in a shell with a control sector made of thin-gauge galvanized and high-grade steel, round"
RISA-ME-KANE-KATO,Railway track and signal signs,abstract_material,Signs,100 pcs,2749.93,538.4,4637.11,2721.24,24,EUR,132,NEPU-KAME-KAKAME,"Contact network support numbering, steel, galvanized, dimensions 260x140 mm, thickness KA.VO mm • Temporary track signals for railways, type ""Speed reduction disc"", diameter 650 mm, with mounting to a"
RIRI-RI-KAME-KATO,"Line insulators, suspended disc type",abstract_material,Insulator,t,114.96,12.64,364.51,184.11,1,EUR,131,PUTO-KATO-KAKAME,linear suspended disc PS 70ER • linear suspended disc PSV 120BG • linear suspended disc PSV 120BR • linear suspended disc PSV 120BRG • linear suspended disc PSV 120D • linear suspended disc PSV 120DG 
KAME-LI-MESA-KAME,"Connecting coupling with thermodiffusion zinc coating, for anchor rod",abstract_material,,pcs,37.65,0.11,367.61,69.15,36,EUR,130,SAME-KANE-KASALI,"Self-opening ground anchor, galvanized, maximum load capacity not less than 120 kN • Self-opening ground anchor, galvanized, maximum load capacity not less than 45 kN • Brass driven anchor, internal t"
KASA-ME-KASA-MENE,Reinforced concrete piles,abstract_material,,m3,461.29,336.35,1319.02,587.63,16,EUR,129,MEVO-KAME-MENENE,"Reinforced concrete anchor blocks, concrete B22.5, volume from 1 to 4 m3, reinforcement consumption from 50 to 100 kg/m3 • Reinforced concrete piles for power line supports, concrete B22.5, reinforcem"
KAME-LI-KALI-MERI,Polyethylene film,abstract_material,,m2,0.45,0.08,17.26,4.56,9,EUR,126,SATO-KAVO-KAKAME,"Polyethylene-based protective wrapping • Waterproofing wrapping film, thickness KA.SASA mm • Polyethylene wrapping film, thickness KA.NE mm • Polyethylene insulation film, thickness KA.RI-KA.SA mm • P"
KAME-RI-KAME-KAME,Petroleum bitumen for roads,abstract_material,"Bitumen, petroleum, road",t,778.25,747.98,880.77,795.72,8,EUR,124,SAPU-MEVO-KAKAME,"BND 100/130 • BND 130/200 • BND 200/300 • BND 50/70 • BND 60/90 • BND 70/100 • BND 90/130 • MG 40/70, MG 70/130, MG 130/200, SG 40/70, SG 70/130, SG 130/200"
KARI-RI-KATO-KAME,Rubble stones,abstract_material,Rubble stone M,m3,61.42,41.42,88.85,65.85,14,EUR,122,MEME-KAME-KARITO,"100, size from 70 to 1000 mm • 1000, size from 70 to 1000 mm • 1200, size from 150 to 500 mm • 1200, size from 70 to 1000 mm • 1400, size from 150 to 500 mm • 1400, size from 70 to 1000 mm • 200, size"
KAPU-ME-KARI-KATO,Heavy concrete mixes for road and airfield pavements,abstract_material,Heavy concrete mixes (BST) for road and airfield pavements and bases on,m3,164.17,143.0,172.63,160.53,12,EUR,115,MELI-KAME-KALIME,"granite crushed stone, class B22.5, F(2)100, W4 • granite crushed stone, class B25, F(2)200, W8 • granite crushed stone, class B30, F(2)200, W10 • granite crushed stone, class B30, F(2)200, W12 • gran"
KAME-TO-KASA-TOVO,Chemical reagents,abstract_material,,t,3915.25,585.53,6544.97,3563.49,6,EUR,114,SARI-KAVO-KAMEME,"Technical isopropylbenzene hydroperoxide • Technical dibutyl phthalate, grade I • Ground quartz dust • AG-4 V-10 pressing material • Technical paratoluene sulfonyl chloride • Divinyl styrene thermopla"
KAME-LI-KANE-KATO,Polyethylene tapes,abstract_material,"Polyethylene and butyl rubber-based tapes, four-layer for insulation and corrosion protection of pip",t,6362.66,6000.05,6725.27,6362.66,2,EUR,114,RILI-KAME-KAMEPU,KA.PUSA mm • KA.NETO mm
KAME-PU-KATO-KATO,Materials for stabilizing boreholes,abstract_material,Powder-based additive,t,15306.31,13916.07,15306.31,14842.89,3,EUR,110,TOME-KATO-KAKANE,"xanthan polymer for regulating the rheological characteristics of drilling fluids, mass fraction of the main substance in dry condition not less than 91%, heat resistance +270 °C, density ME.SAKA-ME.N"
KAVO-PU-KAME-KARI,Embedded parts,abstract_material,Parts,t,4039.84,4039.6,4039.84,4039.76,3,EUR,106,MEPU-KARI-KAKASA,"embedded and overlay parts manufactured without welding, bending, drilling (punching) holes, supplied separately • embedded and overlay parts manufactured using welding, bending, drilling (punching) h"
KASA-ME-KARI-KAPU,Reinforced concrete culvert pipe links,abstract_material,Culvert pipes,m3,896.3,770.85,971.59,872.05,10,EUR,106,MEVO-KAPU-KASANE,"Round reinforced concrete for railways and motorways, B30 concrete, reinforcement consumption from 100 to 150 kg/m3 • Round reinforced concrete for railways and motorways, B30 concrete, reinforcement "
KAPU-RI-KAME-KAME,Asphalt concrete mixes,abstract_material,Asphalt concrete mixes,t,222.18,147.76,259.56,216.89,119,EUR,105,SAPU-MESA-KAMERI,SP-11 • SP-16 • SP-22 • SP-32 • SP-4 • SP-8 • A 11 VL on PG • A 11 VL on BND • A 11 VL on PBV • A 11 VN on PG • A 11 VN on BND • A 11 HV on PBV • A 11 VT on PG • A 11 VT on BND • A 11 VT on PBV • A 11
KAME-PU-KAME-KAVO,Immersion pneumatic hammers,abstract_material,"Immersion pneumatic hammers, type",pcs,498.14,391.41,1209.64,648.06,7,EUR,103,TOME-KATO-KAMEME,P-MEKASA-RI.NE • P-MEKASA-RI.VO • P-MEMEKA-RI.VO • P-MEMEKA-TO.RI • P-METOKA-PU.KA • P-METOKA-NE.TO • P-MENEKA-SA.SA
MEVO-ME-KADX-KANE,Coupling fittings,abstract_material,Tap,pcs,23.41,3.68,667.5,59.74,69,EUR,103,TOSA-KARI-KASAKA,"brass ball coupling, straight-through, nominal pressure ME.NE MPa, nominal diameter 15 mm • brass ball coupling, straight-through, nominal pressure ME.NE MPa, nominal diameter 20 mm • brass ball coupl"
KAME-LI-KADX-KAPU,Cumulative perforator adapter,abstract_material,,pcs,132.85,1.78,1773.26,267.89,20,EUR,101,TOME-KAME-KAKADX,"Initiating head for cumulative perforator, diameter 73 mm, length 476 m • Cumulative perforator head for cartridge with centering device, transverse dimension of perforator without centering device 89"
MENE-RI-KAME-KARI,Topsoil,abstract_material,Topsoil,m3,40.44,33.56,47.32,40.44,2,EUR,100,PULI-KAME-KAKAME,mechanized harvesting
MEDX-TO-KARI-KALI,Gate valves,abstract_material,Gate valve,pcs,89.42,10.58,1068.75,180.65,89,EUR,100,TONE-KADX-KAPUME,"in the shell, round, made of sheet carbon and structural steel, diameter 1250 mm • in the shell, round, made of sheet carbon and structural steel, diameter 160 mm • in the shell, round, made of sheet "
KAPU-ME-KARI-KAPU,Heavy concrete mixes for transport construction,abstract_material,"Heavy concrete mixes (BST) for transport construction on granite crushed stone, class",m3,183.11,130.93,186.05,169.3,11,EUR,97,MELI-KAME-KAPUPU,"B15, F(1)150, W6 • B20, F(1)150, W6 • B25, F(1)200, W8 • B30, F(1)200, W10 • B30, F(1)300, W10 • B30, F(1)300, W8 • B35, F(1)300, W12 • B35, F(1)300, W8 • B40, F(1)300, W10 • B40, F(1)300, W12 • B7.5,"
KASA-ME-KARI-KAVO,Reinforced concrete pipes,abstract_material,Pipes,m,297.71,13.3,1056.76,353.19,76,EUR,96,TOTO-KASA-KADXDX,"Concrete non-pressure pipes, diameter 1000 mm • Concrete non-pressure pipes, diameter 150 mm • concrete non-pressure pipes, diameter 200 mm • concrete non-pressure pipes, diameter 300 mm • concrete no"
KAME-LI-MELI-KALI,Grinding wheels,abstract_material,Circle,pcs,3.39,1.05,12.97,4.69,7,EUR,96,SATO-KARI-MESAME,"polishing felt, dimensions 150x20x12.7 mm • fabric-based flap grinding disc, grit size 10, dimensions 125x22 mm • fabric-based flap grinding disc, grit size 40, dimensions 125x22 mm • straight profile"
KARI-ME-KAME-KARI,Drainage soil,abstract_material,Soil,m3,185.8,19.66,231.21,144.52,9,EUR,95,KALI-KARI-KAKAME,"clayey (loam) • clayey (sandy loam) • sandy (sand soil) • rock from granite M 1000, fraction 0-200 mm • rock from granite M 1000, fraction 0-500 mm • rocky granite M 1000, fraction 200-500 mm • rocky "
RITO-PU-KAME-KATO,Steel pipes with polyurethane foam insulation,abstract_material,Steel pipes,m,119.09,20.44,2286.02,305.23,101,EUR,95,TOTO-KAPU-RIPULI,"Seamless pipes with polyurethane foam thermal insulation in a galvanized shell, outer diameter 108 mm, wall thickness 4 mm, outer shell diameter 200 mm • Seamless with polyurethane foam thermal insula"
MERI-RI-KASA-KANE,Insulation,abstract_material,"Expanded polystyrene thermal insulation boards, type",m3,165.78,66.97,309.02,175.48,17,EUR,89,RISA-KAPU-KANEME,"P, PPS10 • P, PPS12 • P, PPS13F • P, PPS14 • P, PPS16F • P, PPS17 • P, PPS20 • P, PPS23 • P, PPS25 • P, PPS30 • P, PPS35 • T, PPS15 • T, PPS20 • T, PPS25 • T, PPS30 • T, PPS35 • T, PPS40"
MEPU-SA-KALI-KAPU,Ground pigment,abstract_material,,kg,60.95,11.13,110.76,60.95,2,EUR,89,RIVO-KADX-KAKARI,Color paste • Pigment for epoxy resin
