code,name,type,category,unit,base_price,min_price,max_price,currency,usage_count,regions
DXME-KANE-KATO_KASASA,Electric winches with a pulling force of MEDX.NERI kN (2 t),equipment,Hoists & Winches,Machine hours,4.98,0.45,16.49,EUR,2959,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KARI_KAKAVO,"Non-tipping mine cars, capacity RI.SA m3",equipment,General,Machine hours,0.31,0.31,0.31,EUR,2886,ENG_TORONTO
DXME-MEKA-KAME_KAKARI,"Filling and pressure testing units, flow rate up to 300 m3/h",equipment,Testing Equipment,Machine hours,1588.49,87.34,3234.95,EUR,2751,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEVO-KAME_KAKALI,"Mobile screw compressors with internal combustion engines, pressure up to KA.LI MPa (7 atm), capacity up to SA.PU m3/min",equipment,Compressors,Machine hours,94.41,10.56,391.02,EUR,2736,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KANEKA,Electric winches with a pulling force of up to SA.LIDX kN (KA.SADX t),equipment,Hoists & Winches,Machine hours,4.25,0.26,9.53,EUR,2553,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KANETO,Electric winches with a pulling force of up to PUDX.KASA kN (5 t),equipment,Hoists & Winches,Machine hours,9.51,0.91,33.74,EUR,2478,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KANEME,Electric winches with a pulling force of up to MERI.RINE kN (ME.RISA t),equipment,Hoists & Winches,Machine hours,4.26,0.34,12.73,EUR,2340,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KASA_KAMERI,"General purpose semi-trailers, load capacity up to 15 t",equipment,Trucks & Vehicles,Machine hours,55.15,4.4,162.84,EUR,2229,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KARI_KAKANE,"Gantry cranes, lifting capacity 50 t",equipment,Cranes,Machine hours,1780.74,152.28,5639.88,EUR,2028,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KARI_KAKARI,"Trucks, load capacity up to 8 tons",equipment,Trucks & Vehicles,Machine hours,359.78,23.14,856.91,EUR,2021,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KAPU_KAKAME,"Tractor units, load on the fifth wheel coupling up to 12 t",equipment,Trucks & Vehicles,Machine hours,401.27,27.64,1023.61,EUR,1770,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEDX_KATONE,"Pipe cutting machines, maximum pipe diameter 426 mm",equipment,Pipe Equipment,Machine hours,13.95,0.97,35.88,EUR,1749,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KANE_KAPUVO,"Single-mast hoists, load capacity up to 500 kg, lifting height 45 m",equipment,Cranes,Machine hours,1.6,1.51,55.98,EUR,1739,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KARI_KATORI,"Ultrasonic flaw detectors, thickness of the product being inspected up to 6000 mm",equipment,Testing Equipment,Machine hours,31.3,1.9,70.22,EUR,1652,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MENE_KAMERI,Hydraulic presses with electric drive,equipment,General,Machine hours,5.4,0.47,17.23,EUR,1570,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_MELIME,"Welding machines for manual arc welding, welding current up to 500 A",equipment,Welding Equipment,Machine hours,27.33,2.04,75.41,EUR,1555,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KARI_KAKAPU,"Flatbed trucks, load capacity up to 15 t",equipment,Trucks & Vehicles,Machine hours,527.32,35.77,1324.7,EUR,1513,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KASA_KARIRI,"Broad gauge shunting locomotives, power 550 kW (750 hp)",equipment,General,Machine hours,1878.91,179.74,6656.96,EUR,1399,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KARI_KAKATO,"Flatbed trucks, load capacity up to 10 tons",equipment,Trucks & Vehicles,Machine hours,211.06,23.5,870.25,EUR,1395,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KASAPU,Mine maneuvering winches for pulling mine cars to the first break,equipment,Hoists & Winches,Machine hours,1.36,1.36,1.36,EUR,1381,ENG_TORONTO
DXME-KALI-KAPU_KAKAME,Deep vibrators,equipment,General,Machine hours,0.35,0.35,0.35,EUR,1376,ENG_TORONTO
DXME-RIME-MEKA_KAKAME,Pneumatic jackhammers for use with stationary compressor stations,equipment,Compressors,Machine hours,1.72,1.72,1.72,EUR,1367,ENG_TORONTO
DXME-RIME-RIRI_TOKAME,Supports for portable pneumatic perforators,equipment,General,Machine hours,0.13,0.13,0.13,EUR,1339,ENG_TORONTO
DXME-KAME-KAME_KATOPU,"Bulldozers, power 59 kW (80 hp)",equipment,Bulldozers,Machine hours,216.89,30.86,1142.86,EUR,1333,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEKA-KASA_KAKALI,"Pipe layers, nominal load capacity MERI.SA t",equipment,General,Machine hours,271.75,73.85,2735.18,EUR,1291,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_KATOPU,"Welding units with internal combustion engines for manual arc welding, welding current up to 400 A, number of stations 1",equipment,Welding Equipment,Machine hours,2.84,2.84,2.84,EUR,1279,ENG_TORONTO
DXME-KASA-KALI_KAKATO,"Railway cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,1083.66,73.14,2708.73,EUR,1278,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KARI_KARIME,Gamma flaw detectors with a penetrable steel thickness of up to 80 mm,equipment,Testing Equipment,Machine hours,161.25,9.71,359.79,EUR,1229,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KASASA,Персонал: 2 чел.-ч/маш.-ч,equipment,General,маш.-ч,838.58,838.58,838.58,EUR,1218,RU_STPETERSBURG
DXME-KASA-KAPU_KAMEKA,"Electric bridge cranes, load capacity 50 t",equipment,Cranes,Machine hours,559.45,62.5,2314.71,EUR,1203,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KAME_KAMELI,"Tower cranes, lifting capacity 8 t",equipment,Cranes,Machine hours,26.46,26.46,26.46,EUR,1154,ENG_TORONTO
DXME-RIME-MEDX_KATOME,Drilling machines,equipment,General,Machine hours,9.44,0.81,30.1,EUR,1136,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEDX-KAVO_KAMESA,"Pumps, capacity 200 m3/h, head 25 m, power 22 kW",equipment,Pumps,Machine hours,41.22,3.29,121.76,EUR,1087,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KATO-KAVO_KAKATO,Portable column drills for drilling holes and wells when working from stationary compressor stations,equipment,Compressors,Machine hours,10.62,10.62,10.62,EUR,1086,ENG_TORONTO
DXME-KASA-KAPU_KAKANE,"Electric bridge cranes, lifting capacity 10 t",equipment,Cranes,Machine hours,100.26,9.21,341.24,EUR,1065,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEDX-KAVO_KAKALI,"Pumps, capacity LI.RI m3/h, head 26 m, power SA.SA kW",equipment,Pumps,Machine hours,11.6,0.86,32.03,EUR,1046,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KALI_KAKARI,"General-purpose electric hoists, load capacity KA.SA t",equipment,Hoists & Winches,Machine hours,3.03,0.19,6.98,EUR,1020,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KATOTO,Auxiliary mine winches with a pulling force of METO.LITO kN (ME.PU t),equipment,Hoists & Winches,Machine hours,1.47,1.47,1.47,EUR,982,ENG_TORONTO
DXME-RIME-MEDX_KATORI,Metal planing machines,equipment,General,Machine hours,43.35,3.3,122.17,EUR,967,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEDX_KATOTO,Turning and screw-cutting machines,equipment,General,Machine hours,76.22,6.84,253.43,EUR,956,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAME_KAKAPU,"Welding rectifiers, welding current up to 500 A, number of posts 1",equipment,Welding Equipment,Machine hours,15.86,1.89,70.09,EUR,936,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEDX_KATOVO,Metal milling machines,equipment,General,Machine hours,17.35,1.34,49.57,EUR,906,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEDX_KAMETO,"Machines with abrasive wheels for rough sawing of steel pipes, reinforcement bars, profiles, and other workpieces",equipment,General,Machine hours,4.89,0.28,10.36,EUR,830,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-RIKA_KAMETO,"Electric diamond drilling rigs for reinforced concrete, drilling diameter up to 250 mm",equipment,General,Machine hours,11.68,1.0,36.92,EUR,827,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEDX_KAMERI,Drill bit sharpening machines,equipment,General,Machine hours,1.39,1.39,1.39,EUR,813,ENG_TORONTO
DXME-KASA-KAPU_KAKASA,"Electric overhead cranes, lifting capacity 5 t",equipment,Cranes,Machine hours,45.45,5.73,212.21,EUR,808,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KAPU_KATOTO,"Welding units for manual arc welding on a tractor, welding current up to 250 A, number of stations 2, tractor power 79 kW (108 hp)",equipment,Trucks & Vehicles,Machine hours,38.1,38.1,38.1,EUR,806,ENG_TORONTO
DXME-KANE-KATO_KASAVO,Electric winches with a pulling force of MESANE.DXNE kN (16 t),equipment,Hoists & Winches,Machine hours,23.68,2.17,80.32,EUR,776,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KAME_KAMEME,Railcars for operation on a contact network with an insulated mounting platform and a crane unit equipped with removable cradles,equipment,Cranes,Machine hours,1915.5,100.84,3734.85,EUR,775,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KALI_KAKATO,"General-purpose electric hoists, load capacity 1 t",equipment,Hoists & Winches,Machine hours,3.8,0.21,7.88,EUR,743,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAME-KAME_KATOSA,"Bulldozers, power 79 kW (108 hp)",equipment,Bulldozers,Machine hours,59.01,33.07,1224.81,EUR,735,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MESA-KARI_KARIPU,"Crawler tractors, power 79 kW (108 hp)",equipment,Trucks & Vehicles,Machine hours,86.26,25.83,956.67,EUR,724,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KAPU_KAKADX,"Electric overhead cranes, lifting capacity 32 t",equipment,Cranes,Machine hours,517.87,47.62,1763.78,EUR,722,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEME-KAME_KAMERI,Installation machines for laying and installing cables based on a vehicle,equipment,General,Machine hours,632.17,33.33,1234.43,EUR,704,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KARI_KAKASA,"Gantry cranes, lifting capacity 32 t",equipment,Cranes,Machine hours,291.15,63.8,2362.96,EUR,701,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KARI_KAVOME,Universal styloscopes,equipment,General,Machine hours,27.22,1.21,90.2,EUR,695,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KAME_KAKARI,"Tower cranes, lifting capacity 80 t",equipment,Cranes,Machine hours,1389.75,73.9,4641.74,EUR,678,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KALI_KAKASA,"General-purpose electric hoists, load capacity TO.RI t",equipment,Hoists & Winches,Machine hours,5.86,0.35,13.06,EUR,664,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAVO-KAPU_KARIME,"Mobile electric bitumen boilers with centrifugal mixer, loading capacity 400 l",equipment,General,Machine hours,3.65,3.65,3.65,EUR,657,ENG_TORONTO
DXME-KAME-KAME_KATOVO,"Bulldozers, power 121 kW (165 hp)",equipment,Bulldozers,Machine hours,280.52,66.93,2479.03,EUR,655,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEKA-KASA_KAKADX,"Pipe layers, nominal load capacity 35 t",equipment,General,Machine hours,142.68,142.68,142.68,EUR,654,ENG_TORONTO
DXME-KANE-KAME_KAKATO,"Hydraulic jacks, lifting capacity 63-100 t",equipment,Cranes,Machine hours,0.5,0.07,2.68,EUR,645,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KASAME,"Electric slip hoists, 10 t",equipment,Hoists & Winches,Machine hours,425.46,4.52,1263.82,EUR,644,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KASA_KAKARI,"Heavy-duty semi-trailers, load capacity up to 40 t",equipment,Trucks & Vehicles,Machine hours,93.8,9.4,348.06,EUR,642,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-MEKA_KAKARI,Pneumatic jackhammers powered by mobile compressors,equipment,Compressors,Machine hours,0.11,0.09,3.19,EUR,617,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KAPU_KAKARI,"Wide-gauge freight crane draisines, crane capacity TO.SA t",equipment,Cranes,Machine hours,79.93,35.8,1326.01,EUR,614,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KALI_KAKANE,"General-purpose electric hoists, lifting capacity 5 t",equipment,Cranes,Machine hours,6.35,0.49,18.17,EUR,599,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KASANE,Electric winches with a pulling force of LIVO.PUVO kN (8 t),equipment,Hoists & Winches,Machine hours,16.09,1.61,59.8,EUR,597,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KALI_KAKAPU,"General-purpose electric hoists, load capacity 2 t",equipment,Hoists & Winches,Machine hours,5.17,0.29,10.68,EUR,596,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEKA-KASA_KAKAPU,"Pipe layers, nominal load capacity NE.TO t",equipment,General,Machine hours,32.21,32.21,32.21,EUR,593,ENG_TORONTO
DXME-METO-KAME_KATOVO,"Watering machines, tank capacity 6 m3",equipment,General,Machine hours,37.18,37.18,37.18,EUR,579,ENG_TORONTO
DXME-KASA-KANE_KAKADX,"Cranes on crawler tracks, load capacity 50 t",equipment,Cranes,Machine hours,673.08,69.74,2582.94,EUR,579,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEPU-KAPU_KAKARI,"Tractor units, load on the fifth wheel coupling up to 15 t",equipment,Trucks & Vehicles,Machine hours,93.1,29.39,1088.62,EUR,532,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEDX-MERI_KANEME,"Tractor-based open drainage systems, capacity 700 m3/hour",equipment,Trucks & Vehicles,Machine hours,35.61,35.61,35.61,EUR,528,ENG_TORONTO
PU_MEKAKA_KALIKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,482.05,482.05,482.05,EUR,528,RU_STPETERSBURG
DXME-KASA-KALI_KAKARI,"Railway cranes, lifting capacity 16 t",equipment,Cranes,Machine hours,316.53,62.66,2320.76,EUR,507,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEKA-KAME_KAKAME,"Filling and pressure testing units, flow rate up to 70 m3/h",equipment,Testing Equipment,Machine hours,126.02,47.42,1756.11,EUR,500,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAME-KARI_KAKAPU,"Medium-duty motor graders, power 99 kW (135 hp)",equipment,General,Machine hours,70.46,70.46,70.46,EUR,495,ENG_TORONTO
DXME-KAME-KASA_KAVOPU,"Single-bucket diesel excavators on crawler tracks, bucket capacity KA.PU m3",equipment,Excavators,Machine hours,64.31,33.01,1222.46,EUR,494,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEVO-KAME_KAKAPU,"Mobile screw compressors with internal combustion engines, pressure up to 1 MPa (10 atm), capacity up to 10 m3/min",equipment,Compressors,Machine hours,39.22,21.54,797.69,EUR,483,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KADX_KAKAME,"Self-propelled telescopic lifts, working height 26 m, load capacity 250 kg",equipment,General,Machine hours,805.33,58.83,2179.06,EUR,480,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KAME_KAKARI,"Hydraulic jacks, lifting capacity NE.TO-RISA t",equipment,Cranes,Machine hours,0.08,0.02,0.84,EUR,477,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KATOKA,Персонал: 1 чел.-ч/маш.-ч,equipment,General,маш.-ч,298.77,298.77,298.77,EUR,470,RU_STPETERSBURG
DXME-KAME-KAME_KATONE,"Bulldozers, power 96 kW (130 hp)",equipment,Bulldozers,Machine hours,39.57,39.57,39.57,EUR,468,ENG_TORONTO
DXME-MESA-KARI_KARISA,"Crawler tractors, power 96 kW (130 hp)",equipment,Trucks & Vehicles,Machine hours,486.45,31.4,1162.95,EUR,465,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAME-KASA_KAVONE,"Single-bucket diesel excavators on crawler tracks, bucket capacity KA.NESA m3",equipment,Excavators,Machine hours,46.6,46.6,46.6,EUR,461,ENG_TORONTO
DXME-MESA-KARI_KARILI,"Crawler tractors, power 132 kW (180 hp)",equipment,Trucks & Vehicles,Machine hours,614.12,43.37,1606.14,EUR,460,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-KASA_KARITO,"Broad gauge shunting locomotives, power 880 kW (1200 hp)",equipment,General,Machine hours,302.27,302.27,302.27,EUR,458,ENG_TORONTO
DXME-KAME-KATO_KAKARI,"Scraper complexes, bucket capacity up to KA.SA m3",equipment,Excavators,Machine hours,17.86,17.86,17.86,EUR,455,ENG_TORONTO
DXME-KASA-KAPU_KAKALI,"Electric bridge cranes, load capacity 16 t",equipment,Cranes,Machine hours,208.22,21.97,813.62,EUR,450,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MELI-KATO_KAPUME,"Units for heating metal barrels with a capacity of 200 l, power 3 kW",equipment,General,Machine hours,4.65,0.34,12.42,EUR,436,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAME-KASA_MEKANE,"Single-bucket diesel excavators on pneumatic wheels, bucket capacity KA.RISA m3",equipment,Excavators,Machine hours,26.36,26.36,26.36,EUR,416,ENG_TORONTO
DXME-MENE-KAME_KAKARI,"Mobile power stations, 4 kW capacity",equipment,General,Machine hours,4.26,3.16,116.94,EUR,414,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MENE-KAME_KAKAPU,"Mobile power stations, capacity 60 kW",equipment,General,Machine hours,170.9,23.94,886.52,EUR,405,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KAPU_KAMERI,"Electric overhead cranes, lifting capacity 100 t",equipment,Cranes,Machine hours,1374.99,132.88,4921.36,EUR,405,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-MERI_MEKARI,"Rail drilling machines, power ME.MESA kW",equipment,General,Machine hours,0.74,0.37,13.57,EUR,395,"ENG_TORONTO,RU_STPETERSBURG"
PU_MEKAKA_KANESA,Персонал: 2 чел.-ч/маш.-ч,equipment,General,маш.-ч,933.98,933.98,933.98,EUR,394,RU_STPETERSBURG
DXME-MEVO-KAME_SAKAVO,"Mobile screw compressors with electric motor, pressure up to 1 MPa (10 atm), capacity up to 5 m3/min",equipment,Compressors,Machine hours,4.49,4.49,4.49,EUR,392,ENG_TORONTO
DXME-KASA-KANE_KAKAVO,Crawler cranes with a lifting capacity of 40 tons,equipment,Cranes,Machine hours,627.46,65.74,2434.74,EUR,388,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIKA-KATO_KAKADX,"Diesel tugs operating in open waters, power 294 kW (400 hp)",equipment,General,Machine hours,122.84,122.84,122.84,EUR,386,ENG_TORONTO
DXME-KASA-KASA_KAMENE,"Truck-mounted cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,175.75,50.9,1885.3,EUR,382,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-MERI_MEKAME,Rail cutting machines,equipment,General,Machine hours,0.65,0.65,0.65,EUR,381,ENG_TORONTO
DXME-KANE-KATO_KAPULI,Manual and lever winches with a pulling force of TOME.TODX kN (TO.RI t),equipment,Hoists & Winches,Machine hours,0.09,0.09,0.09,EUR,376,ENG_TORONTO
DXME-KASA-KAME_KAMESA,"Tower cranes, load capacity 50 tons",equipment,Cranes,Machine hours,1120.42,66.57,3667.09,EUR,360,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KATO-KANE_KAPUKA,"Electric bucket loading machines, capacity ME.RISA m3/min",equipment,Excavators,Machine hours,16.32,16.32,16.32,EUR,355,ENG_TORONTO
DXME-KANE-KANE_KAPURI,"Hydraulic lifts, lifting height 10 m",equipment,Cranes,Machine hours,20.57,3.52,130.19,EUR,352,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-MERI_KATOME,Universal track wrenches,equipment,General,Machine hours,0.45,0.45,0.45,EUR,347,ENG_TORONTO
DXME-RIME-MEDX_KAMEPU,Pipe bending machines complete with mandrel for cold bending of pipes with an outer diameter of 219-530 mm,equipment,Pipe Equipment,Machine hours,2066.21,35.86,6115.42,EUR,346,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KATO_KASALI,Electric winches with a pulling force of MERIRI.NERI kN (MERI.SA t),equipment,Hoists & Winches,Machine hours,19.51,1.85,68.47,EUR,332,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KANE-KASA_KANEKA,"Universal front-end pneumatic wheeled single-bucket loaders, nominal capacity of main bucket KA.PUNE m3, load capacity 1 t",equipment,Excavators,Machine hours,24.08,18.14,671.79,EUR,330,"ENG_TORONTO,RU_STPETERSBURG"
DXME-RIME-KAME_KAMERI,"High-pressure painting units for painting structural surfaces, power 1 kW",equipment,General,Machine hours,0.71,0.17,6.24,EUR,328,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAPU-KAME_KATOTO,"Drilling and crane machines based on a crawler tractor with a power of 93 kW (126 hp), drilling depth up to 5 m, hole diameter up to 800 mm",equipment,Cranes,Machine hours,35.04,35.04,35.04,EUR,327,ENG_TORONTO
DXME-KANE-KATO_KATOPU,Auxiliary mine winches with a pulling force of RIPU.SATO kN (RI.SA t),equipment,Hoists & Winches,Machine hours,21.3,1.63,60.49,EUR,327,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MESA-KARI_KAMESA,"Crawler tractors, power 244 kW (330 hp)",equipment,Trucks & Vehicles,Machine hours,1679.52,101.06,3742.8,EUR,323,"ENG_TORONTO,RU_STPETERSBURG"
DXME-METO-KATO_MEMERI,"Special-purpose all-terrain vehicles, load capacity up to ME.SA tons",equipment,General,Machine hours,14.93,14.93,14.93,EUR,321,ENG_TORONTO
DXME-RIME-RIRI_PUDXME,Universal hydraulic pipe benders,equipment,Pipe Equipment,Machine hours,10.1,0.92,33.99,EUR,320,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KAPU-KAME_KAPUNE,Heavy drilling hammers for use with stationary compressor stations,equipment,Compressors,Machine hours,6.06,6.06,6.06,EUR,319,ENG_TORONTO
DXME-KASA-KALI_KAKAPU,"Railway cranes, load capacity 80 t",equipment,Cranes,Machine hours,448.22,207.63,7690.03,EUR,311,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEDX-KAVO_KAMEME,"Pumps, capacity 100 m3/h, head 30 m, power 11 kW",equipment,Pumps,Machine hours,2.05,2.05,2.05,EUR,310,ENG_TORONTO
DXME-RIKA-KATO_KAKAME,"Tugs, power 110 kW (150 hp)",equipment,General,Machine hours,58.24,58.24,58.24,EUR,305,ENG_TORONTO
DXME-MEKA-KASA_KAMEKA,"Pipe layers, rated load capacity 50 t",equipment,General,Machine hours,386.66,176.61,6541.08,EUR,303,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KASA-KAVO_KAKALI,"Pneumatic wheeled cranes, lifting capacity 30 t",equipment,Cranes,Machine hours,188.13,53.28,1973.27,EUR,299,"ENG_TORONTO,RU_STPETERSBURG"
DXME-MEKA-KADX_KAMEME,"Equipment for hydraulic testing of pipelines, low pressure KA.ME MPa (1 kgf/cm2), high pressure 10 MPa (100 kgf/cm2)",equipment,Testing Equipment,Machine hours,2.98,0.54,19.92,EUR,297,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KADX-MEKA_KASAME,Electric tamping machines,equipment,General,Machine hours,0.14,0.14,0.14,EUR,290,ENG_TORONTO
PU_MEKAKA_KADXSA,Персонал: 2 чел.-ч/маш.-ч,equipment,General,маш.-ч,1147.38,1147.38,1147.38,EUR,289,RU_STPETERSBURG
DXME-KATO-KANE_KARIRI,"Wheeled-rail loading machines for horizontal workings with a cross-section of more than 8 m2, pneumatic",equipment,General,Machine hours,127.73,127.73,127.73,EUR,288,ENG_TORONTO
DXME-RIME-MEDX_KATOSA,"Electromechanical pipe cutting machines for thread cutting, motor power up to 8 kW",equipment,Pipe Equipment,Machine hours,91.69,7.27,269.43,EUR,276,"ENG_TORONTO,RU_STPETERSBURG"
DXME-KALI-KAPU_KAKARI,Surface vibrators,equipment,General,Machine hours,0.35,0.35,0.35,EUR,268,ENG_TORONTO
DXME-KATO-MEDX_KADXME,Hand-held pneumatic wrenches for use with stationary compressor stations,equipment,Compressors,Machine hours,3.18,3.18,3.18,EUR,264,ENG_TORONTO
DXME-RIKA-KARI_KAKANE,"Non-self-propelled barges for operation in closed water areas, load capacity 250 t",equipment,General,Machine hours,19.11,19.11,19.11,EUR,260,ENG_TORONTO
