resource_code,resource_name,resource_type,category,unit,unit_rate_avg,unit_rate_min,unit_rate_max,avg_cost_per_use,avg_quantity_per_use,currency,usage_count,price_variants,used_in_items_count,regions,parent_work_category,parent_collection,parent_department
PU_MEKAKA_KAPUKA,Персонал: 1 чел.-ч/маш.-ч,equipment,Other,маш.-ч,336.43,336.43,336.43,4643.65,13.8027,EUR,8203,1,7193,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Изготовление технологических металлических конструкций в условиях производственных баз;Оборудование предприятий электронной промышленности и промышленности средств связи;Оборудование сельскохозяйственных производств,АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
KAME-LI-KATO-KAME_KAKAKAME,Water,material,Water & Utilities,m3,3.19,1.16,42.85,203.16,102.8766,EUR,7841,2,7841,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Painting work;Stove work;Оборудование сельскохозяйственных производств,COATING WITH PAINT AND VARNISH MATERIALS;WOODEN STRUCTURES
ME_MEKAKA_PUKA,Worker Category 1,labor,Labor Grades,hrs,17.12,17.12,17.12,4520.31,264.0885,EUR,7620,1,7620,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Inspection of welded joints;Rolling mill equipment,COATING WITH PAINT AND VARNISH MATERIALS;LOCAL TELEPHONE COMMUNICATIONS
KAME-TO-KARI-KADX_KAKARIRI,Propane-butane technical mixture,material,Wood & Timber,kg,22.83,1.85,68.69,188.03,9.3821,EUR,6856,2,6856,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Изготовление технологических металлических конструкций в условиях производственных баз",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
PU_MEKAKA_KASAKA,Персонал: 2 чел.-ч/маш.-ч,equipment,Other,маш.-ч,388.63,386.65,773.3,10395.02,26.8505,EUR,6829,2,5011,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,"Оборудование предприятий электронной промышленности и промышленности средств связи;Оборудование сельскохозяйственных производств;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
KAME-LI-MEME-KALI_KARIRILI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 4-5 mm",material,Steel & Metal,kg,27.35,3.91,144.74,2573.14,71.4475,EUR,6680,2,6680,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for building materials industry enterprises;Internal piping;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
KAME-LI-KATO-KAME_KAKAKARI,Tap water,material,Water & Utilities,m3,22.56,1.18,43.57,47578.73,2139.9651,EUR,5390,2,5390,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Electrical engineering industry equipment;Equipment for healthcare institutions and medical industry enterprises;Inspection of welded joints,HEALTH CARE FACILITY EQUIPMENT;АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ
PU_MEKAKA_KALIKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,14.0,13.02,78.09,518.13,39.065,EUR,4659,5,4214,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Roofs",BUILDINGS AND BUILDING FRAMES;RYAZHI
DXME-MELI-KAPU_KAPURI,Gas welding and cutting equipment,equipment,Welding Equipment,Machine hours,1.03,0.14,5.35,43.31,23.3677,EUR,4496,2,4496,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for coal and peat industry enterprises;Pile driving, sinking wells, soil stabilization;Изготовление технологических металлических конструкций в условиях производственных баз",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
ME_MEKAKA_PUKA,"Средний разряд работы 4,0",material,Other,ч,633.95,633.95,633.95,169403.32,267.2187,EUR,4330,1,4330,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Изготовление технологических металлических конструкций в условиях производственных баз;Оборудование предприятий электронной промышленности и промышленности средств связи;Оборудование сельскохозяйственных производств,НОРИИ ЛЕНТОЧНЫЕ ВЕРТИКАЛЬНЫЕ В МЕТАЛЛИЧЕСКОМ КОЖУХЕ ДЛЯ ЗЕРНА И ПРОДУКТОВ ЕГО ПЕРЕРАБОТКИ;ОБОРУДОВАНИЕ ДЛЯ ЭЛЕКТРОМАШИНОСТРОЕНИЯ
KAME-LI-MEME-KALI_KARITOKA,"Welding electrodes for welding low-alloy and carbon steels UONI 13/55, E50A, diameter 4-5 mm",material,Steel & Metal,kg,47.26,3.74,138.44,3155.31,62.0067,EUR,4222,2,4222,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Compressor units, pumps, and fans;Pile driving, sinking wells, soil stabilization;Weighing equipment",CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS;PUMPS
KAME-LI-MESA-KATO_KAKAPURI,Bolts with nuts and washers for construction,material,Fasteners,kg,48.97,5.48,202.92,335.68,26.7102,EUR,4136,2,4136,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;МОНТАЖ ОБОРУДОВАНИЯ,"Communication equipment;Pile driving, sinking wells, soil stabilization;Оборудование сельскохозяйственных производств",CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS;LOCAL TELEPHONE COMMUNICATIONS
PU_MEKAKA_KATOKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,8.16,8.07,16.13,115.94,14.3887,EUR,4036,2,3788,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Painting work;Roofs;Stove work,COATING WITH PAINT AND VARNISH MATERIALS;WOODEN STRUCTURES
DXME-KANE-KASA_KAMEME,"Universal front-end pneumatic wheeled single-bucket loaders, nominal capacity of main bucket RI.NE m3, load capacity 5 t",equipment,Excavators,Machine hours,410.57,43.74,1619.97,1136.42,2.1786,EUR,3807,2,3807,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Оборудование сельскохозяйственных производств",COATING WITH PAINT AND VARNISH MATERIALS;LOCAL TELEPHONE COMMUNICATIONS
DXME-KANE-KATO_KANERI,Electric winches with pulling force up to TOME.TODX kN (TO.RI t),equipment,Hoists & Winches,Machine hours,6.1,0.52,19.35,126.75,23.3312,EUR,3784,3,2739,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Оборудование сельскохозяйственных производств",EQUIPMENT FOR SADDLE AND SADDLE PRODUCTION;PUMPS
DXME-KADX-KATO_KATOSA,"Wide gauge platforms, load capacity 73 t",equipment,Trucks & Vehicles,Machine hours,57.73,5.72,211.68,155.26,12.586,EUR,3489,2,3489,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Communication equipment;Equipment for coal and peat industry enterprises;Weighing equipment,ELECTRIFICATION OF RAILWAYS;PUMPS
DXME-MELI-KAPU_RITORI,"Three-phase welding inverters for argon arc welding, maximum welding current 500 A",equipment,Welding Equipment,Machine hours,29.41,1.91,70.57,2539.86,85.0309,EUR,3362,3,2263,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Internal piping;Process pipelines;Технологические трубопроводы,MISCELLANEOUS WORKS;ТРУБОПРОВОДЫ ТЕХНОЛОГИЧЕСКИЕ МЕЖЦЕХОВЫЕ
KAME-TO-KARI-KATO_KAKAKAME,"Acetylene gas, technical grade",material,Chemicals & Gases,m3,159.11,15.81,585.51,5802.22,23.57,EUR,3105,2,3105,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for coal and peat industry enterprises;Pile driving, sinking wells, soil stabilization;Rolling mill equipment",COMPENSATORS AND INSPECTION LIGHTS;INSTALLATION OF INTERNAL ENGINEERING NETWORKS IN TEMPORARY BUILDINGS AND STRUCTURES
DXME-KASA-KANE_KAKALI,"Crawler cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,560.96,61.63,2282.42,10626.1,24.1559,EUR,3051,2,3051,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Electrical engineering industry equipment;Equipment for coal and peat industry enterprises;Pile driving, sinking wells, soil stabilization",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
DXME-KANE-KATO_KASASA,Electric winches with a pulling force of MEDX.NERI kN (2 t),equipment,Hoists & Winches,Machine hours,4.98,0.45,16.49,114.15,30.6783,EUR,2959,3,2193,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Rolling mill equipment;Оборудование сельскохозяйственных производств",COMPENSATORS AND INSPECTION LIGHTS;ОБОРУДОВАНИЕ ДЛЯ ЭЛЕКТРОМАШИНОСТРОЕНИЯ
RI_MEKAKA_KAPU,Grade 4 worker,labor,Labor Grades,hrs,17.12,17.12,17.12,1227.27,71.7006,EUR,2918,1,2918,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Communication equipment;Pile driving, sinking wells, soil stabilization;Roofs",COATING WITH PAINT AND VARNISH MATERIALS;WOODEN STRUCTURES
DXME-KADX-KARI_KAKAVO,"Non-tipping mine cars, capacity RI.SA m3",equipment,Other,Machine hours,0.31,0.31,0.31,25.8,84.4317,EUR,2886,1,2886,ENG_TORONTO,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS
KAME-LI-MESA-KANE_KAMEMEME,Construction nails,material,Fasteners,t,4562.98,2353.52,87167.29,64.59,0.0302,EUR,2879,2,2879,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Stove work",WOODEN STRUCTURES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
KAME-LI-MEME-KAPU_KAKASARI,"Uncoated welding wire SV-08G2S, diameter 2 mm",material,Welding Consumables,kg,47.66,2.9,107.51,598.34,13.1097,EUR,2802,2,2802,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Communication equipment;Pile driving, sinking wells, soil stabilization;Rolling mill equipment",Gas sampling from the pipeline with vent installation;MISCELLANEOUS WORKS
DXME-MEKA-KAME_KAKARI,"Filling and pressure testing units, flow rate up to 300 m3/h",equipment,Other,Machine hours,1588.49,87.34,3234.95,19923.24,12.3743,EUR,2751,2,2751,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Process pipelines;Оборудование общего назначения;Технологические трубопроводы,АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ;ТРУБОПРОВОДЫ ТЕХНОЛОГИЧЕСКИЕ МЕЖЦЕХОВЫЕ
KAVO-ME-KARI-MEME_KAKAKAME,"Forgings from square billets, weight ME.SA-PU.SA kg",material,Steel & Metal,t,10809.19,2143.14,79375.42,758.42,0.3273,EUR,2736,2,2736,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Оборудование сельскохозяйственных производств",RYAZHI;WOODEN STRUCTURES
DXME-MEVO-KAME_KAKALI,"Mobile screw compressors with internal combustion engines, pressure up to KA.LI MPa (7 atm), capacity up to SA.PU m3/min",equipment,Compressors,Machine hours,94.41,10.56,391.02,3699.89,32.5143,EUR,2736,2,2736,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Roofs",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
ME_MEKAKA_TOKA,Average workload TO.KA,labor,Labor Grades,hrs,15.2,15.2,15.2,1596.7,105.0412,EUR,2694,1,2694,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Inspection of welded joints;Rolling mill equipment,CITY TELEPHONE COMMUNICATIONS;WOODEN STRUCTURES
MEPU-PU-KARI-KAPU_KAMEPURI,"MA-0115 oil paint, mummy, iron minium",material,Steel & Metal,kg,33.32,3.28,121.42,66.82,2.2836,EUR,2694,2,2694,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Оборудование сельскохозяйственных производств",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
KAME-LI-RIKA-KAVO_KAMERIRI,"Cotton wipes, dimensions 400x400 mm, surface density from 105 to 130 g/m2",material,Other,m2,12.59,0.67,24.87,91.9,7.2775,EUR,2672,2,2672,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for hydroelectric power stations and hydraulic structures;Process pipelines;Оборудование гидроэлектрических станций и гидротехнических сооружений,MISCELLANEOUS WORKS;МАСЛОПРОВОДЫ ОБОРУДОВАНИЯ ТЕПЛОВЫХ ЭЛЕКТРОСТАНЦИЙ
RISA-ME-KAME-KAPU_KAKATOME,"Coniferous wood sleeper, untreated, for broad gauge railways, type I",material,Wood & Timber,pcs,846.98,61.86,2291.16,6321.31,8.2353,EUR,2635,2,2635,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Compressor units, pumps, and fans;Electrical engineering industry equipment;Equipment for coal and peat industry enterprises",PUMPS;ОБОРУДОВАНИЕ ДЛЯ ЭЛЕКТРОМАШИНОСТРОЕНИЯ
PU_MEKAKA_KASASA,Personnel: 2 man-hours/machine-hour,operator,Machine Operators,Machine hours,24.04,22.64,45.28,205.52,8.9018,EUR,2611,2,2509,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Communication equipment;Pile driving, sinking wells, soil stabilization;Weighing equipment",BUILDINGS AND BUILDING FRAMES;PUMPS
ME_MEKAKA_TOVO,Worker Category 1,labor,Labor Grades,hrs,16.73,16.73,16.73,4734.22,282.9182,EUR,2594,1,2594,ENG_TORONTO,CONSTRUCTION WORK;MAJOR EQUIPMENT REPAIRS;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Equipment for printing industry enterprises;Rolling mill equipment,BUILDINGS AND BUILDING FRAMES;CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS
DXME-KANE-KATO_KANEKA,Electric winches with a pulling force of up to SA.LIDX kN (KA.SADX t),equipment,Hoists & Winches,Machine hours,4.25,0.26,9.53,5.98,1.9604,EUR,2553,2,2553,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Painting work;Stove work;Оборудование сельскохозяйственных производств,COATING WITH PAINT AND VARNISH MATERIALS;LOCAL TELEPHONE COMMUNICATIONS
RI_MEKAKA_KASA,Grade 5 worker,labor,Labor Grades,hrs,19.67,19.67,19.67,2902.49,147.549,EUR,2550,1,2550,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Roofs",AUTOMATION DEVICES AND EQUIPMENT INSTALLED ON EQUIPMENT AND COMMUNICATIONS;WOODEN STRUCTURES
DXME-KANE-KATO_KANETO,Electric winches with a pulling force of up to PUDX.KASA kN (5 t),equipment,Hoists & Winches,Machine hours,9.51,0.91,33.74,347.54,47.0109,EUR,2478,3,1861,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Изготовление технологических металлических конструкций в условиях производственных баз;Оборудование сельскохозяйственных производств",BUILDINGS AND BUILDING FRAMES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
DXME-KANE-KATO_KANEME,Electric winches with a pulling force of up to MERI.RINE kN (ME.RISA t),equipment,Hoists & Winches,Machine hours,4.26,0.34,12.73,406.88,86.2118,EUR,2340,3,1653,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Оборудование сельскохозяйственных производств",CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS;НОРИИ ЛЕНТОЧНЫЕ ВЕРТИКАЛЬНЫЕ В МЕТАЛЛИЧЕСКОМ КОЖУХЕ ДЛЯ ЗЕРНА И ПРОДУКТОВ ЕГО ПЕРЕРАБОТКИ
KAME-LI-MEME-KALI_KATOMETO,Tungsten welding electrodes for welding high-alloy and refractory steels,material,Steel & Metal,kg,2485.7,140.19,5192.06,300.95,0.1368,EUR,2324,2,2324,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Internal piping;Process pipelines;Технологические трубопроводы,MISCELLANEOUS WORKS;АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ
DXME-MEPU-KASA_KAMERI,"General purpose semi-trailers, load capacity up to 15 t",equipment,Trucks & Vehicles,Machine hours,55.15,4.4,162.84,78.79,1.8836,EUR,2229,2,2229,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for coal and peat industry enterprises;Metal structures of hydraulic engineering structures;Pile driving, sinking wells, soil stabilization",EQUIPMENT FOR OPEN-PIT MINING;MISCELLANEOUS WORKS
RI_MEKAKA_KARI,2nd grade worker,labor,Labor Grades,hrs,13.92,13.92,13.92,543.06,39.0037,EUR,2220,1,2220,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Communication equipment;Pile driving, sinking wells, soil stabilization;Roofs",COATING WITH PAINT AND VARNISH MATERIALS;WOODEN STRUCTURES
ME_MEKAKA_TOSA,Worker Category 1,labor,Labor Grades,hrs,16.16,16.16,16.16,2495.88,154.4608,EUR,2210,1,2210,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Equipment for healthcare institutions and medical industry enterprises;Rolling mill equipment;Tram tracks,COATING WITH PAINT AND VARNISH MATERIALS;LOCAL TELEPHONE COMMUNICATIONS
